MachineTimestamp,Participant_ID,Session_No,Event,Distance_m,Coins,Hits,Difficulty,GameOver
2026-03-29T09:00:00,3001,1,SESSION_END,315,18,3,0.62,True
2026-03-29T09:06:00,3002,2,SESSION_END,800,19,0,0.63,False
2026-03-29T09:12:00,3003,3,SESSION_END,800,20,0,0.64,False
2026-03-29T09:18:00,3004,1,SESSION_END,800,21,0,0.65,False
2026-03-29T09:24:00,3005,2,SESSION_END,800,22,0,0.66,False
2026-03-29T09:30:00,3001,3,SESSION_END,800,23,0,0.67,False
2026-03-29T09:36:00,3002,1,SESSION_END,800,18,0,0.6799999999999999,False
2026-03-29T09:42:00,3003,2,SESSION_END,315,19,3,0.69,True
2026-03-29T09:48:00,3004,3,SESSION_END,800,20,0,0.7,False
2026-03-29T09:54:00,3005,1,SESSION_END,800,21,0,0.71,False
2026-03-29T10:00:00,3001,2,SESSION_END,800,22,0,0.72,False
2026-03-29T10:06:00,3002,3,SESSION_END,800,23,0,0.73,False
2026-03-29T10:12:00,3003,1,SESSION_END,800,18,0,0.74,False
2026-03-29T10:18:00,3004,2,SESSION_END,800,19,0,0.75,False
2026-03-29T10:24:00,3005,3,SESSION_END,315,20,3,0.76,True
2026-03-29T10:30:00,3001,1,SESSION_END,800,21,0,0.77,False
2026-03-29T10:36:00,3002,2,SESSION_END,800,22,0,0.78,False
2026-03-29T10:42:00,3003,3,SESSION_END,800,23,0,0.79,False
2026-03-29T10:48:00,3004,1,SESSION_END,800,18,0,0.8,False
2026-03-29T10:54:00,3005,2,SESSION_END,800,19,0,0.81,False
2026-03-29T11:00:00,3001,3,SESSION_END,800,20,0,0.8200000000000001,False
2026-03-29T11:06:00,3002,1,SESSION_END,315,21,3,0.83,True
2026-03-29T11:12:00,3003,2,SESSION_END,800,22,0,0.84,False
2026-03-29T11:18:00,3004,3,SESSION_END,800,23,0,0.85,False
2026-03-29T11:24:00,3005,1,SESSION_END,800,18,0,0.86,False
2026-03-29T11:30:00,3001,2,SESSION_END,800,19,0,0.87,False
2026-03-29T11:36:00,3002,3,SESSION_END,800,20,0,0.88,False
2026-03-29T11:42:00,3003,1,SESSION_END,800,21,0,0.89,False
2026-03-29T11:48:00,3004,2,SESSION_END,315,22,3,0.9,True
2026-03-29T11:54:00,3005,3,SESSION_END,800,23,0,0.9099999999999999,False
