SYNTHETIC MANIFEST — SYNTHETIC DEMONSTRATION DATA, generated 2026-09-13 by simulation for pipeline demonstration. NOT study data. NOT evidence.
Directory: /tmp/claude-0/-home-user-gamification/3d8a50e8-9258-51ce-a7d6-194da50f9a04/scratchpad/s3b/out/synthetic
Files: 45 + this manifest

FILE                                        BYTES  SHA256
SYNTHETIC_README.md                          4929  a1eae889a43e1ef7c3743b8452916c576c70cabe2deb817a53e0660c2f1aa9f6
SYNTHETIC_combined.csv                      10752  b3bcab3608bc7125fcbabeee569f3a01cca9b9e0da15097e8ae0af2191f5b15e
SYNTHETIC_demo_analysis.md                   4333  1c4e1905612616e22a383ad20fc76a0e05285c3d0ab61d04d79313704167b52c
SYNTHETIC_generate.py                       22135  ec6231b63f5bd352777d7963eb146537423135180d0df29092b25e8dd8e1f2ab
SYNTHETIC_return_SYN-P001.txt                3106  e82f2db2f06269084f269590b15f6eb4ffcf42dc994b142835288eb50b854d31
SYNTHETIC_return_SYN-P002.txt               11803  662311a2614abf5a4a1d648a027b274565d3fe910804772782c9b3f1d72deb74
SYNTHETIC_return_SYN-P003.txt                6349  45034ac821d134d5abadfa83844806f725e16a5d4c6d28ff69bac1d4096dbb90
SYNTHETIC_return_SYN-P004.txt                5175  e71f2bae5aa897720160873ef74a8a6e7bbb7b8824642b5c9f1f899d2a437f67
SYNTHETIC_return_SYN-P005.txt                6127  0468f2a773f89666182d09ae130400f844a3868b673027198afe9553690af9ba
SYNTHETIC_return_SYN-P006.txt                7234  8bfec2bedcd461d23cc3835862824694c0b51e64d3648f6ccd418ac905d7e278
SYNTHETIC_return_SYN-P007.txt                4821  8872e5530175e517489ab5c8d89e61d59b874544e21b1fc6a5904d841b78f62d
SYNTHETIC_return_SYN-P008.txt                1641  8df62b9553798760c44cdf6e11ddf6a3a952262dd609859ef5bf04a83e34defb
SYNTHETIC_return_SYN-P009.txt                2692  34bf64d90aeecf431b3c940844c59785ed9bd04ae85881f8035dadbbf11c36ac
SYNTHETIC_return_SYN-P010.txt                6590  5dace933c94804b65600584bca3f2dc22ac6e0d013d4b9d3d659b8695f1c1dd1
SYNTHETIC_return_SYN-P011.txt                2164  5a4a5280bc024a0d0e4b3810616321d21067b6eef28d3f20f74ad5f7da37da5e
SYNTHETIC_return_SYN-P012.txt                5751  bb9e01f497fa6cc940cac4396c2fa266767a51b2254e04c80fab4272aa8e0b01
SYNTHETIC_return_SYN-P013.txt               11188  b8429e0aee230c6b276a2c900c24bf701353c9a7b5daa4406826ac1877297784
SYNTHETIC_return_SYN-P014.txt                5574  9cbb5024f09c185fd187eb303c4e32cb837221a248dc8a47e84a5f4fd110e67d
